Original    Solution
506030000   576439128
000000060   489152367
200003000   215763894
704500010   794528613
030001000   638941572
040005200   147395286
000004000   962814735
000000000   853276941

Original    Solution
003700000   413752869
005000000   825639147
000481030   679481235
000000700   154963782
000000410   962578413
380010000   387214956
046127000   546127398
000300600   298345671
000000000   731896524

Original    Solution
050060000   154268379
000473500   986473521
020000040   723159846
300005000   367925184
800000700   895314762
012000050   412687953
600000010   679532418
008000630   248791635
000000000   531846297

Original    Solution
002000000   382147659
100508000   167598234
540260800   549263817
005000000   215376498
000000570   893412576
406800000   476859123
031700000   631724985
000000740   928635741
000000000   754981362

Original    Solution
000080200   457183269
000070030   296475138
381006500   381296547
008632000   178632495
040010000   942518376
560000000   563749812
000001080   624951783
005000000   735864921
000000000   819327654

Original    Solution
000365000   124365897
000010030   567819234
000700000   389724156
000400010   296473518
003506070   413586972
050200640   758291643
000000760   932148765
840000000   841657329
000000000   675932481

Original    Solution
600000000   623419587
010000040   715382649
080070300   489576312
370200000   374258196
501063800   591763824
000100050   862194753
008600070   238641975
000005000   147935268
000000000   956827431

Original    Solution
004006800   124396857
007051030   687451932
005007400   395827416
800234000   816234579
003000200   453679281
000010000   279518364
000060000   932165748
500000100   568742193
000000000   741983625

Original    Solution
007000080   137546289
020071030   628971435
040300610   549382617
000420000   716425398
000000700   492138756
380000020   385697124
000050000   261854973
004710000   954713862
000000000   873269541

Original    Solution
400100000   465132798
020000040   327869541
800750000   819754326
000010000   976513482
050200000   158247963
004600170   234698175
701000000   741326859
600075200   683975214
000000000   592481637

Original    Solution
001060000   321467589
000100700   894153762
005000300   765298314
410020800   413629857
200000040   258371946
670000020   679584123
102006000   182736495
000805000   936845271
000000000   547912638

Original    Solution
000370500   184372569
705000000   735169428
020000100   629845137
500021000   573621894
062080000   962487315
400000070   418953672
000200000   857216943
040708200   341798256
000000000   296534781

Original    Solution
000500000   247516839
010030040   619837245
300000000   385924671
000460080   792465183
050700000   851793462
036082000   436182957
000200300   974258316
108070020   168379524
000000000   523641798

Original    Solution
000000000   124589637
005017000   365217498
080630000   987634152
400000010   476852913
000076020   539176824
810000000   812493765
201040380   291745386
003000040   753968241
000000000   648321579

Original    Solution
803600200   813654279
050000000   254397168
600800000   697812345
120040000   128749536
000500800   749563812
000120000   365128497
000006050   931286754
472030000   472935681
000000000   586471923

Original    Solution
000018020   347618529
000300000   589324167
026700040   126795843
000000000   751936482
000047000   238547916
600082300   694182375
805000200   865479231
400050600   473251698
000000000   912863754

Original    Solution
000038020   176538924
020000070   328649175
005010000   495217386
800056200   847356291
000000400   632791458
000800600   519824637
050400000   251473869
064080010   764982513
000000000   983165742

Original    Solution
008600000   128635749
030700600   439728651
000401000   657491238
060300020   761384925
300100470   382159476
005006010   945276813
000000300   514862397
006000500   276913584
000000000   893547162

Original    Solution
700030800   712539846
083400070   583461279
000000530   469278531
005000000   195827364
027300000   627345198
030106020   834196725
200000000   256913487
008700000   948752613
000000000   371684952

Original    Solution
010000000   214357689
030008100   537968124
600001570   689241573
800000000   821735946
000000050   796412358
000600700   345689712
150820400   153826497
470100000   472193865
000000000   968574231

Original    Solution
207150000   267158349
041320000   941327658
350000710   358469712
000080200   534681297
000000000   726934185
010002000   819572436
400000000   475816923
002700500   182793564
000000000   693245871

Original    Solution
070006010   273456819
084030500   684139527
000070600   159872634
300000000   312694758
000700000   845721396
006085040   796385241
000203000   467213985
520040000   528947163
000000000   931568472

Original    Solution
014060030   214567839
060000400   365819427
000030500   798432516
000058000   136758942
080604000   582694173
000000600   947123658
070080060   473985261
000200380   659271384
000000000   821346795

Original    Solution
000006010   345286719
000030050   672139458
800075600   819475623
000302000   764312895
008040000   298547136
501000200   531698274
023001000   423851967
007060000   157964382
000000000   986723541

Original    Solution
000080400   315287469
620000000   627149385
000600000   498653712
780000200   783915246
160002000   164372598
000064130   259864137
000520000   831526974
000730050   942738651
000000000   576491823

Original    Solution
200000000   217356948
000008000   459128367
603040100   683749152
304000070   394682571
800000600   871593624
000410800   562417893
005260400   735261489
026000000   926834715
000000000   148975236

Original    Solution
800010000   832416579
040000180   746359182
005000360   195278364
200035800   274135896
010000000   319682457
608000000   658947213
520000040   527863941
000720000   981724635
000000000   463591728

Original    Solution
006003000   156243879
004000000   384579162
702001000   792681435
400862500   439862517
000000020   561734928
208000040   278195346
040007600   843927651
000008700   625318794
000000000   917456283

Original    Solution
008000050   418267359
700008000   753948126
000300400   269315478
320700680   321759684
000000500   684132597
000400000   597486213
032070000   832671945
040003760   145893762
000000000   976524831

Original    Solution
006504000   376514289
020030040   528639147
001000500   491278536
000060010   254763918
030800000   639841725
000002400   187952463
705100300   745186392
060007000   963427851
000000000   812395674

Original    Solution
400000000   427138596
306004800   356294817
010070400   918576432
800600000   873641925
005080760   145982763
000003000   692753148
030000070   531869274
280010000   284317659
000000000   769425381

Original    Solution
020010000   526314798
004050060   894257163
030806000   731896425
000040280   657143289
003000000   943528671
018070000   218679534
000005310   462985317
005002000   185732946
000000000   379461852

Original    Solution
000004000   138254769
004000000   654379128
070800030   972861435
500000600   541793682
280046300   289146357
703082000   763582914
006000000   426918573
305600000   395627841
000000000   817435296

Original    Solution
000000600   245317689
003000000   763489215
010000430   819562437
602030150   672938154
000201300   498251376
000000800   531674892
050120700   956123748
084000000   184796523
000000000   327845961

Original    Solution
000008000   127368459
500000800   549217836
603000000   683594127
000050060   892751364
704000000   764932518
300480700   315486792
200105080   276145983
000003240   958673241
000000000   431829675

Original    Solution
000076480   139276485
000000000   254819367
000043000   678543129
042005600   742395618
000080000   563481792
000007000   981627534
025164000   825164973
307002000   317952846
000000000   496738251

Original    Solution
730000000   734182659
002005030   892645731
061000080   561379284
000030040   157236948
000007100   389457126
000008500   246918573
020804000   625894317
003061000   473561892
000000000   918723465

Original    Solution
030000000   236415789
100000300   147689352
005020000   895723146
000800020   451867923
300500010   369542817
000001400   782931465
024170000   924176538
500008670   513298674
000000000   678354291

Original    Solution
571006000   571346289
000020030   468129735
000050040   239758641
004800000   314862957
006000020   756931824
000400100   982475163
820003000   827513496
100004500   193684572
000000000   645297318

Original    Solution
500000070   541682973
803001040   823791546
000300020   679354128
004023000   154923687
200000400   236178459
000405000   798465231
010007300   912847365
000206000   385216794
000000000   467539812

Original    Solution
140006000   142386759
000050200   387459216
000021040   596721348
000008000   213678495
000104820   659134827
070005000   874295163
760000000   761543982
008060500   428967531
000000000   935812674

Original    Solution
003075000   243875619
000002000   571962483
000000000   896431752
050600000   354629178
600000030   628714935
007308240   917358246
160007300   162587394
080040500   789243561
000000000   435196827

Original    Solution
000400000   125437698
000000050   738692154
000500720   649581723
003020060   413825967
087300000   987316245
006004380   256974381
300050000   392158476
000260500   874263519
000000000   561749832

Original    Solution
002080000   432685197
150000260   158479263
060010040   769213548
307004020   317864925
025000600   825197634
000000070   946352871
600500000   673521489
000008000   291748356
000000000   584936712

Original    Solution
500000100   524396178
300070000   318472596
000108000   679158243
400080060   451789362
002503000   962513487
000000000   783624951
000267830   195267834
037000010   237845619
000000000   846931725

Original    Solution
000004500   138264579
050700000   254793168
006080400   796185423
501040300   521847396
000036200   987536241
400000050   463912857
002000000   342671985
800020010   875329614
000000000   619458732

Original    Solution
810000260   814759263
700080000   732186495
000003000   596243187
060037000   168937524
007800300   257864319
003500070   943512678
000428000   675428931
000000050   429371856
000000000   381695742

Original    Solution
020000040   321765849
000040000   579148236
086000000   486239517
000600450   732691458
100520000   198524763
600800100   654873192
060080000   965482371
040306020   847316925
000000000   213957684

Original    Solution
000500020   146589723
030000800   537124896
080007500   982637541
065070000   465371289
300062000   378962154
200040030   219845637
000000310   824796315
000008060   753418962
000000000   691253478

Original    Solution
008002300   148592367
000608000   257638149
630000020   639417825
400000570   412869573
300045000   386745912
000100000   795123684
004070000   564371298
003006050   973286451
000000000   821954736

Original    Solution
000206000   351276849
700008060   724198365
008000000   698354127
010000470   216589473
800042000   837642591
045000200   945713286
000020600   473925618
100830000   162837954
000000000   589461732

Original    Solution
560207080   561237984
020005070   428695173
300000000   397418526
000070000   239874651
100000300   186529347
005000800   745361892
070106200   974156238
000000410   652783419
000000000   813942765

Original    Solution
080000000   387419265
021000030   421568937
060207000   569237184
053000020   653791428
010000000   712854396
000020700   948326751
800073010   894673512
200045000   236145879
000000000   175982643

Original    Solution
004080700   234186759
000000400   658379412
001205000   791245863
400600000   417632598
000000200   863597241
000000600   925418637
500020180   576923184
342060070   342861975
000000000   189754326

Original    Solution
510008000   512368479
000000080   376491285
000005000   498275163
860020000   865923714
740800500   743816592
020000630   129754638
000140800   237149856
080030000   681532947
000000000   954687321

Original    Solution
030060000   235469178
000217000   468217359
100080400   179385426
700000000   716532894
503000000   593648217
824070000   824971563
052700000   352794681
000026000   941826735
000000000   687153942

Original    Solution
007310000   527314869
000000000   369758124
401002000   481692375
030201050   734281956
206000000   256943718
000067040   918567243
072000600   872435691
105000000   195826437
000000000   643179582

Original    Solution
000000060   758123469
040875000   649875123
130000850   132649857
006050000   416352798
007400000   327498516
000700040   895716342
084000000   284931675
070060200   973564281
000000000   561287934

Original    Solution
000003050   648273159
150800000   153869724
020040000   729541386
500036410   572936418
006000200   316458297
000107000   894127563
060004000   261394875
400010000   487615932
000000000   935782641

Original    Solution
504010300   564719328
000020570   198324576
002580400   372586491
007600010   247638915
800000700   815492763
030000080   639157284
080000000   481273659
000000030   756941832
000000000   923865147

Original    Solution
100003060   125973468
000000700   348156729
000048030   679248135
702000000   752361894
010020050   813429657
400780000   496785312
034000200   934517286
000600500   281694573
000000000   567832941

Original    Solution
060800000   164825397
823000000   823497156
700000400   759613482
000170000   395174268
000080700   612389745
080006030   487256931
500001800   576941823
200030070   241538679
000000000   938762514

Original    Solution
070060200   374165289
001000560   291384567
508200000   568297143
000000000   123649875
000750030   489751632
650000000   657823491
806002000   816972354
000508700   942538716
000000000   735416928

Original    Solution
500062030   541762938
000000020   678139425
300050000   329458167
012340700   812346759
000020800   456927813
000000000   937581246
203000500   263874591
704600000   794615382
000000000   185293674

Original    Solution
030040000   237145698
401800000   491826357
056000100   856379142
000004080   325764981
060000420   768913425
100250000   149258763
014000030   514687239
003000000   673592814
000000000   982431576

Original    Solution
127060500   127368594
000400070   568419273
300002000   349752168
000005000   716235489
480100030   485196732
203000000   293847615
600500040   632581947
000600000   954673821
000000000   871924356

Original    Solution
000700800   132746859
540000630   547189632
000000040   698532147
023010400   723615498
080000010   986324715
000007000   451897326
005260070   315268974
000003200   874953261
000000000   269471583

Original    Solution
050000180   356479182
000005700   428135769
070002430   179682435
004003000   514263897
000500200   783591246
062700000   962748351
005000010   635827914
201000000   291354678
000000000   847916523

Original    Solution
800000020   814579326
000032400   659832471
073600800   273614859
500700000   521746938
038000000   938125647
000003010   467983215
102000080   192367584
006200000   746258193
000000000   385491762

Original    Solution
800003270   816453279
002010000   472918356
050000080   953267481
500000010   564372918
000040020   789541623
001600000   231689547
640100000   648135792
300800100   327894165
000000000   195726834

Original    Solution
001286000   571286349
000700010   469753218
300000500   328149567
050800000   653814792
040030800   942637851
007025600   187925634
000000000   716592483
200360000   294368175
000000000   835471926

Original    Solution
000057040   169257348
320008050   324168759
000000020   785349126
008600000   278613495
000072000   496572813
500000670   513894672
040000530   642981537
030020000   831725964
000000000   957436281

Original    Solution
080400000   183425796
062000000   462397158
000600000   957618243
010070630   814972635
700000000   795836412
230500000   236541879
501080060   521783964
000100320   648159327
000000000   379264581

Original    Solution
005206000   135286479
200040680   279143685
086000300   486957321
000500000   327518946
008700010   548769213
001000000   961324758
700000060   792831564
600070800   613475892
000000000   854692137

Original    Solution
000800000   417859236
506000000   596123748
023704000   823764195
100006050   138246957
060000800   964375821
700001000   752981364
080030010   689437512
305000400   375612489
000000000   241598673

Original    Solution
800005100   823465179
400020600   415729638
000000240   679318245
000103000   258173964
007054080   167954382
030082000   934682751
000000400   381596427
000007010   596247813
000000000   742831596

Original    Solution
020000480   123576489
004001030   574891236
080300000   689342517
060000100   267934158
030000000   831257964
000060020   495168723
000485300   716485392
002003070   942613875
000000000   358729641

Original    Solution
807050000   847251639
001060000   291368475
005000180   365479182
700003000   752683914
030104000   938124567
000500320   416597328
080000050   189746253
020800000   624835791
000000000   573912846

Original    Solution
057801000   657821394
000000060   134957268
008400050   298436157
800560000   879563412
010000630   415278639
320000000   326149785
000700040   561782943
040010000   942315876
000000000   783694521

Original    Solution
200040600   235841679
601000000   671359248
400700500   489762513
010520000   716523894
000000100   592487136
308100700   348196725
000200000   853214967
004008050   164978352
000000000   927635481

Original    Solution
072160340   872165349
000000000   436789125
510002060   519342768
000208600   157238694
000000000   268497513
004006000   394516287
603071000   683971452
040000000   945623871
000000000   721854936

Original    Solution
200001300   246571398
070000000   173289456
050000000   859364217
000106040   728156943
030807000   931847562
000030000   465932871
602400030   612498735
007600180   397625184
000000000   584713629

Original    Solution
004700000   154768329
000310650   279314658
008052000   368952147
003000070   583421976
002000000   692587413
400600200   417639285
000203000   845293761
000045800   736145892
000000000   921876534

Original    Solution
002050800   172654839
006020040   386729145
000300760   594381762
010002000   615832497
840000010   847596213
000407000   239417658
003200000   463275981
000060020   751968324
000000000   928143576

Original    Solution
000040200   375641289
001000400   281579463
406080050   496283157
050800000   153867924
007352010   947352816
000000000   628914735
000006300   519726348
800100600   834195672
000000000   762438591

Original    Solution
000063100   259763148
080042000   781542639
400100050   436189257
000205060   193275864
007000000   827496513
500010000   564318972
078020000   378621495
000000380   642957381
000000000   915834726

Original    Solution
000000000   157428369
006000020   896537124
340061500   342961578
000073050   219873456
004600080   734615982
500200700   568249713
400300200   471386295
000000040   983152647
000000000   625794831

Original    Solution
040030000   142538679
800700000   869712345
075400800   375469812
031020000   431827596
000000000   758946123
200000700   296153784
013000400   913275468
007684000   527684931
000000000   684391257

Original    Solution
000010000   325417689
004000000   764859132
000203700   198263745
200580070   249581376
013000500   613724598
050000200   857936214
001040000   931642857
076300020   576398421
000000000   482175963

Original    Solution
000270060   153274869
000000000   264839175
080060030   987561234
040010000   849315627
000008000   721698543
635700000   635742918
000107000   396157482
402086050   472986351
000000000   518423796

Original    Solution
000480000   139482567
706000100   746395128
520001000   528671349
061008400   961528473
200003000   254763891
000000050   387149652
012054000   812954736
000200000   473216985
000000000   695837214

Original    Solution
007060000   137468592
200100000   264159378
050007000   958237461
400300020   475316829
600005040   619825743
080070100   382974156
000003210   896543217
040080000   741682935
000000000   523791684

Original    Solution
004800600   724831659
000050000   631954278
000000400   859726431
000060010   478563912
500180000   592187346
306402080   316492587
240000000   243618795
100370000   165379824
000000000   987245163

Original    Solution
000301860   579321864
000000000   138465279
204070530   264879531
800004000   856714392
002000700   342958716
010602050   917632458
000006000   783296145
600500000   621543987
000000000   495187623

Original    Solution
000006000   243786159
000135080   769135284
100040700   185249736
037000000   437562891
008004300   618974325
050018000   952318467
001000600   521493678
800000010   894627513
000000000   376851942

Original    Solution
000008000   135248697
002000100   742569138
006370000   896371425
074000280   574136289
061000370   261895374
000420000   389427516
000050000   417952863
603700000   623784951
000000000   958613742

Original    Solution
285000000   285361947
060000300   164579382
000400100   379482156
520100400   528196473
040000020   941837625
706250000   736254819
000000700   413625798
000018000   657918234
000000000   892743561

Original    Solution
000000030   451278936
020600700   328691745
000304100   679354128
002043600   192543687
000810000   546817293
083000000   783926451
004100000   234165879
010082000   915782364
000000000   867439512

Original    Solution
040201050   346271859
000003020   158943726
000000040   729658143
200000030   261894537
003500010   873526914
500017000   594317268
000030600   485732691
012400000   612489375
000000000   937165482

Original    Solution
500006000   524186739
001400200   891437256
003005180   673295184
200840000   215843697
007000500   347619528
006750000   986752413
000008300   452968371
000070000   138574962
000000000   769321845

Original    Solution
800050000   831456279
050320000   759328164
420000080   426179385
000601000   375681492
210003800   214793856
600200700   698245713
003000000   183564927
002000040   962837541
000000000   547912638

Original    Solution
000000740   235189746
400560000   479563128
168700000   168724359
003000500   723618594
006007000   586497231
010200080   914235687
040000010   342876915
000002800   651942873
000000000   897351462

Original    Solution
007020000   187529436
003004850   293764851
640301000   645381297
000603000   812653749
300100000   364197528
000008000   579248163
058000370   458916372
030000000   931472685
000000000   726835914

Original    Solution
000000000   138267495
507003000   567943128
024000760   924158763
080020050   683721954
005004000   295384617
741000000   741695382
006000800   316572849
000436000   859436271
000000000   472819536

Original    Solution
000007000   235467189
460105070   468195273
001003000   791283456
100000000   123846795
000000800   956731824
000500300   847529361
504670000   514672938
670008040   679318542
000000000   382954617

Original    Solution
000000070   152839674
070040000   376142859
040006100   849756123
000270500   914278536
000503410   628593417
030000080   537461982
060020000   461325798
205080000   295687341
000000000   783914265

Original    Solution
508306140   528376149
000000300   164289357
030004080   937154286
706000000   716832594
000005060   392745861
040000000   845691723
200000430   251967438
000420000   673428915
000000000   489513672

Original    Solution
000000000   236451789
500000000   587293146
001060300   491867325
604105070   624135978
003008000   913728564
075000000   875649231
062000800   362914857
700502010   749582613
000000000   158376492

Original    Solution
508000200   548369217
000051060   237851964
000270030   196274538
070000800   371426895
000080000   425983176
600500000   689517342
800000000   813645729
060708450   962738451
000000000   754192683

Original    Solution
082070500   482376519
005001000   765291348
310000060   319548267
008005000   138725496
000000070   246139875
050860000   957864123
500000030   521987634
670400000   673452981
000000000   894613752

Original    Solution
560280100   567283149
000000700   138496725
004050030   294751836
080067400   381967452
000020000   645328971
000000000   729514368
003040600   953142687
870000500   872639514
000000000   416875293

Original    Solution
000000610   238479615
010080000   415682379
006001080   796531284
300200000   367295841
000040050   182743956
040010020   549816723
050308100   654328197
000057000   923157468
000000000   871964532

Original    Solution
400000000   423156789
800240300   857249361
001380000   691387245
074002600   174532698
300700010   389764512
500800400   562891437
000000070   235418976
000070000   948675123
000000000   716923854

Original    Solution
000002000   918542367
000008040   237168549
546003000   546793128
700000800   723614895
001300270   451389276
800000000   869257413
300400000   392475681
170006030   175826934
000000000   684931752

Original    Solution
000200800   314296857
000070000   526178934
700000200   798534216
100005300   149685372
000000000   672349581
800702460   835712469
057063000   257963148
000450020   981457623
000000000   463821795

Original    Solution
008000000   138257469
020436000   925436718
060000000   467819235
700020000   716924583
052108000   352178694
004000170   894365172
600700000   643782951
500600020   589641327
000000000   271593846

Original    Solution
000000600   125734698
700800000   749861235
630020000   638925147
006508000   416578923
000403000   852493716
003002000   973612854
201000060   281357469
500006380   597146382
000000000   364289571

Original    Solution
450608700   452618793
007003100   687293154
010000600   319457628
005001040   935861247
800000010   874325916
020000000   126974385
700000000   743182569
001700030   561749832
000000000   298536471

Original    Solution
070200000   574216389
210730000   219738546
008045000   368945127
000000000   127569438
603000000   693824715
400170060   485173962
006001200   956381274
000002050   741692853
000000000   832457691

Original    Solution
040800000   341857296
600000000   672193458
000062070   589462173
107005060   197235864
030000700   236948715
054000030   854671932
020306000   728316549
400500000   413529687
000000000   965784321

Original    Solution
806002000   816432579
004600000   594617328
700800010   732859416
061000250   361978254
040000700   248561793
000000000   957243681
080305000   689325147
003700060   123784965
000000000   475196832

Original    Solution
042000000   342167598
608000000   698254137
010000000   517389246
830070400   835976412
004000700   164823759
000000600   729415683
003000860   253791864
071048020   971648325
000000000   486532971

Original    Solution
070000040   172935648
003000100   683274159
000086000   459186237
010007000   514867392
008002000   368592714
000300580   927341586
700028060   735428961
041050000   241659873
000000000   896713425

Original    Solution
007050000   127459368
080306500   489316527
006080000   356287149
501004000   561794283
000003600   798123654
000060700   234568791
005802010   975832416
040000000   642971835
000000000   813645972

Original    Solution
000250700   318256794
050004030   259174638
000030000   647839152
400500010   436582917
000017000   592417863
800000000   871963245
063000520   163748529
700301000   725391486
000000000   984625371

Original    Solution
000001200   365481297
004000000   894327156
070006830   172596834
023000670   423819675
080000400   986735412
500200000   517264983
600000000   641953728
050670300   259678341
000000000   738142569

Original    Solution
040008700   142358796
006000280   356497281
000002000   789612345
010070860   213574869
000000400   578269413
004030000   964831527
800123650   897123654
000000000   435986172
000000000   621745938

Original    Solution
000040020   156749328
000300700   284316759
030805000   937825146
015280000   415283697
760100000   768194235
002007800   392657814
500000000   521478963
800060000   843961572
000000000   679532481

Original    Solution
200460000   213467589
007100000   857193264
000005100   469285173
002000030   642718935
500340700   598346712
070020040   371529648
000001820   734951826
000800000   926874351
000000000   185632497

Original    Solution
000000200   357194268
000870000   214876395
608050000   698352147
030001080   436521789
100000050   189437652
025000000   725968413
000783000   941783526
570640000   572649831
000000000   863215974

Original    Solution
000000450   123768459
000002080   465392781
070400000   879415236
050007000   956287143
000031020   784631925
201000860   231954867
008500000   348579612
610003000   617823594
000000000   592146378

Original    Solution
050007600   152487693
000000050   436129758
070360210   978365214
000800000   264893571
315006000   315276489
000500000   789514326
800000000   843751962
020040130   627948135
000000000   591632847

Original    Solution
610000000   612457398
000300020   458391726
070006500   379826514
063000150   263948157
000010400   587213469
000000080   194675283
031004000   831564972
005780000   945782631
000000000   726139845

Original    Solution
000600800   213645879
000000000   648729135
500018000   597318264
760002000   761452398
030006000   439186527
050007410   852937416
100070050   126874953
070500600   374591682
000000000   985263741

Original    Solution
071020600   371524698
000080000   256389147
004010000   894617235
030076800   532976814
000000000   147258963
000400500   689431572
405000380   465792381
010860000   713865429
000000000   928143756

Original    Solution
010000020   316459728
000007000   849327516
052000000   752861394
004608250   174638259
080000430   685792431
203010060   293514867
000080000   527986143
061000000   461273985
000000000   938145672

Original    Solution
000006070   143526879
000000200   678391245
500078300   529478316
457003000   457163928
030084500   932784561
010050000   816952437
300010000   364815792
000200000   781239654
000000000   295647183

Original    Solution
856400200   856419237
400083000   417283569
200700010   239756418
000300000   548391672
002500800   372564891
000827000   691827345
180000000   183672954
000000000   724935186
000000000   965148723

Original    Solution
200000000   247563189
000080050   369187254
010402700   518492736
002001300   482951367
600800000   673824915
005030800   195736842
006300020   756319428
830000000   834275691
000000000   921648573

Original    Solution
001300050   721364859
680020040   683925147
400000000   459178236
000040320   165749328
208600000   248613795
000500000   937582461
804000000   894257613
000006570   312896574
000000000   576431982

Original    Solution
000004350   127694358
034800000   934851627
000720000   586723149
802100000   852147936
000300200   471369285
003000000   693582714
065210400   765218493
010000000   319475862
000000000   248936571

Original    Solution
023000000   523481697
146000000   146739285
000000300   789652314
200104050   238174956
000260070   495263871
007800000   617895432
000310000   862317549
050006020   351946728
000000000   974528163

Original    Solution
400000700   415289763
800030050   876134259
002056040   392756148
240000000   247318596
061000030   561497832
083005000   983625417
008070000   158973624
000040000   629841375
000000000   734562981

Original    Solution
001620030   451627938
000000000   387149256
060030740   269538741
120053000   126853479
030201800   934271865
070000000   578496312
000000520   613984527
000700000   842715693
